Line #,Comment,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","Tantalum Capacitor","Capacitor - 10uF [0603] (Tantalium)","C9, C24","2","Kyocera AVX","F380J106MMAAH3","Unknown","Digi-Key","478-12031-1-ND","0.4241","84.82"
"","Aluminium Organic Polymer Capacitors","Capacitor - 39uF 16V [Can] (Electrolytic)","C3, C4","2","Panasonic","16SVPC39MV","Volume Production","Digi-Key","P16473CT-ND","0.4597","91.94"
"","Nanopower Timer IC","Timers & Support Products Ultra Low Power System Timer (35 nA) for Power Gating in duty cycled applications.","U10","1","Texas Instruments","TPL5111DDCT","Volume Production","Farnell","3006922","0.462","46.2"
"","Piezo Buzzers & Audio Indicators","Piezo Buzzers & Audio Indicators Piezo Buzzer 9x9mm 4KHz 1.9mm Thickness","PZ1","1","Murata","PKMCS0909E4000-R1","Volume Production","Farnell","2529461","0.528","52.8"
"","7.3728 MHz","Crystals 7.3728MHz 18pF -40C +85C","X1, X2","2","Abracon","ABMM2-7.3728MHZ-E2-T","Volume Production","Mouser","815-ABMM2-7.3-E2-T","0.621","124.2"
"","I2C Switch IC","Switch ICs - Various 4-Channel I2C and SMBus","U11","1","Texas Instruments","TCA9546APWR","Volume Production","Farnell","3006768","0.676","67.6"
"","SPI Switch IC","Analogue Switch ICs 2:1 (SPDT), 4-channel switch with 1.8-V logic 16-TSSOP -40 to 125","U14","1","Texas Instruments","SN3257QPWRQ1","Unknown","Digi-Key","296-SN3257QPWRQ1CT-ND","0.6966","69.66"
"","Voltage Level Shifter","Translation - Voltage Levels 8B Bidir Vltg-Level Translator","U7, U13","2","Texas Instruments","TXS0108EPWR","Volume Production","RSComponents","7094639P","0.7","140"
"","Security ICs / Authentication ICs","Security ICs / Authentication ICs I C/SMBus Silicon Serial Number","U15","1","Maxim","DS28CM00R-A00+T","Volume Production","Farnell","2514574","0.766","76.6"
"","Memory Card Connectors","Memory Card Connectors TFR READER (HINGE TYPE)","J1","1","Molex","0472192001","Volume Production","Digi-Key","WM6698CT-ND","1.01","101.38"
"","Antenna","MHF Antenna Socket","RF1","1","Samtec","RSP-122811-01","Volume Production","Mouser","200-RSP-122811-01","1.1","110"
"","8-bit MicroController","8-bit Microcontrollers - MCU 32KB In-system Flash 20MHz 1.8V-5.5V","U12","1","Microchip / Atmel","ATMEGA328P-AU","Volume Production","Digi-Key","ATMEGA328P-AU-ND","1.67","167"
"","Buck-Boost Converter","Switching Voltage Regulators High current, high efficiency single inductor buck-boost converter 10-VSON-HR -40 to 125","U1","1","Texas Instruments","TPS63802DLAT","Unknown","Digi-Key","296-TPS63802DLATCT-ND","1.98","198.4"
"","Real Time Clock","Real Time Clock 32.768kHz I2C Time Acc. 1ppm","U16","1","Micro Crystal","203591-MG01","Unknown","Digi-Key","2195-RV-3028-C732.768KHZ1PPM-TA-QCCT-ND","1.99","199.49"
"","Fixed Inductor","Fixed Inductors 0.47uH 20% 11.2A 8.36mOhms AEC-Q200","L1","1","Wurth Electronics","7443551130","Volume Production","Digi-Key","732-1124-1-ND","2.83","283.4"
"","1.27 mm Pitch 2x30P Male Connector","Headers & Wire Housings BREAKAWAY HDR VERT 6","J2, J3","2","Samtec","FTSH-130-01-F-DV","Volume Production","Mouser","200-FTSH13001FDV","4.63","926"
"","8-bit MicroController","8-bit Microcontrollers - MCU 256kB Flash 4kB EEPROM 86 I/O Pins","U9","1","Microchip","ATMEGA2560V-8AU","Unknown","Farnell","1288331","7.64","764"
