x,y,layer1,layer2,voltage1,voltage2,current
338.414,535.602,TOP_LAYER,MID_LAYER_1,0.000925211,0.000923179,0.00971992
344.319,214.736,TOP_LAYER,MID_LAYER_1,0.000767633,0.000773441,-0.0277837
345.304,815.622,TOP_LAYER,MID_LAYER_1,3.29621,3.29609,0.570257
350.225,1388.95,MID_LAYER_1,MID_LAYER_2,0.00100254,0.000971517,0.0246966
360.03,-85.6998,TOP_LAYER,MID_LAYER_1,0.000695737,0.000693844,0.0239591
360.03,-85.6998,MID_LAYER_1,MID_LAYER_2,0.000693844,0.000676452,0.0366355
360.03,-85.6998,MID_LAYER_2,MID_LAYER_3,0.000676452,0.000672174,0.0426502
360.03,-85.6998,MID_LAYER_3,MID_LAYER_4,0.000672174,0.00065002,0.0466649
360.03,-85.6998,MID_LAYER_4,BOTTOM_LAYER,0.00065002,0.000646083,0.04984
357.115,303.319,MID_LAYER_1,MID_LAYER_2,0.000832464,0.00082897,0.00278092
362.55,1646.58,TOP_LAYER,MID_LAYER_1,0.000909322,0.000905996,0.0421132
362.55,1646.58,MID_LAYER_1,MID_LAYER_2,0.000905996,0.000877305,0.060435
362.55,1646.58,MID_LAYER_2,MID_LAYER_3,0.000877305,0.000870878,0.0640711
362.55,1646.58,MID_LAYER_3,MID_LAYER_4,0.000870878,0.000837711,0.0698634
362.55,1646.58,MID_LAYER_4,BOTTOM_LAYER,0.000837711,0.000830514,0.0911163
359.083,649.775,MID_LAYER_1,MID_LAYER_2,0.000929968,0.000902199,0.0221036
367.941,975.563,MID_LAYER_1,MID_LAYER_2,0.0010343,0.00098061,0.0427384
369.91,733.437,MID_LAYER_3,MID_LAYER_4,0.000896337,0.000902679,-0.00504788
372.863,1095.64,MID_LAYER_3,MID_LAYER_4,0.00092677,0.000931308,-0.00361202
372.863,1368.28,MID_LAYER_3,MID_LAYER_4,0.000937023,0.000918743,0.0145502
386.642,1480.48,MID_LAYER_3,MID_LAYER_4,0.000937425,0.000903781,0.0267801
399.401,-85.6998,TOP_LAYER,MID_LAYER_1,0.000694391,0.000692266,0.0269028
399.401,-85.6998,MID_LAYER_1,MID_LAYER_2,0.000692266,0.000672771,0.0410653
399.401,-85.6998,MID_LAYER_2,MID_LAYER_3,0.000672771,0.000667918,0.0483819
399.401,-85.6998,MID_LAYER_3,MID_LAYER_4,0.000667918,0.000642371,0.0538125
399.401,-85.6998,MID_LAYER_4,BOTTOM_LAYER,0.000642371,0.000637709,0.0590185
395.5,301.405,MID_LAYER_1,MID_LAYER_2,4.93443,4.93444,-0.00133633
395.5,1088.75,MID_LAYER_1,MID_LAYER_2,4.85419,4.85883,-3.69275
396.485,272.807,TOP_LAYER,MID_LAYER_1,4.93443,4.93443,-0.00133633
396.485,1060.21,TOP_LAYER,MID_LAYER_1,4.84666,4.84743,-3.69275
401.92,1646.58,TOP_LAYER,MID_LAYER_1,0.000921289,0.000918055,0.0409362
401.92,1646.58,MID_LAYER_1,MID_LAYER_2,0.000918055,0.000890646,0.0577353
401.92,1646.58,MID_LAYER_2,MID_LAYER_3,0.000890646,0.000884613,0.0601399
401.92,1646.58,MID_LAYER_3,MID_LAYER_4,0.000884613,0.000854356,0.0637358
401.92,1646.58,MID_LAYER_4,BOTTOM_LAYER,0.000854356,0.000848064,0.0796457
418.138,942.098,MID_LAYER_1,MID_LAYER_2,3.20721,3.20715,0.0475845
418.138,942.098,MID_LAYER_2,MID_LAYER_3,3.20715,3.20715,-0
418.138,942.098,MID_LAYER_3,MID_LAYER_4,3.20715,3.20715,3.53484e-13
429.949,65.1295,TOP_LAYER,MID_LAYER_1,0.000741911,0.000740803,0.00530081
