Comment,Designator,Footprint
"Multilayer Ceramic Capacitor","C36","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C37","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C38","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C39","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C40","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C41","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C42","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C43","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C44","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C45","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C46","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C47","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C48","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C49","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C50","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C51","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C52","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C53","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C54","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C55","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C56","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C57","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C58","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C59","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C60","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C61","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C62","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C63","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C64","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C65","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C66","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C67","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C68","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C69","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C70","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C71","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C72","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C73","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C74","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C75","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C76","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C77","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C78","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C79","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C80","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C81","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C82","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C83","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C84","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C85","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C86","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C87","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C88","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C89","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C90","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C91","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C92","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C93","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C94","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C95","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C96","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C97","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C98","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C99","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C100","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C101","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C102","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C103","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C104","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C105","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C106","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C107","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C108","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C109","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C110","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C111","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C112","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C113","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C114","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C115","CAPACITOR_0402"
