refdes;pin;voltage;current
J2;60;4.99608;1.96035
J2;1;4.99608;1.96035
J2;30;0.0;-0.980174
J2;58;0.0;-0.980174
J2;4;0.0;-0.980174
J2;31;0.0;-0.980174
J3;60;5.00105;0.0498376
J3;1;5.00105;0.0498376
J3;30;0.00114728;-0.0249188
J3;58;0.00114728;-0.0249188
J3;4;0.00114728;-0.0249188
J3;31;0.00114728;-0.0249188
U3;5;3.30041;0.570263
U3;2;0.000984424;0.018311999999999995
U21;6;3.80631;0.838579
U21;8;0.00533345;1.5902399999999999
U21;3;0.00533345;1.5902399999999999
U22;6;5.00037;0.00118532
U22;8;0.00093399;6.681600000000003e-05
U22;3;0.00093399;6.681600000000003e-05
U4;M01;3.68575;-0.0625243
U4;M02;3.6856;-0.0624757
U4;R02;0.00120282;0.006576820000000001
U4;R04;0.00120904;0.00657371
U4;R03;0.00120689;0.00657478
U4;P03;0.00120897;0.00657374
U4;P04;0.0012106;0.0065729199999999995
U4;N03;0.00120922;0.0065736200000000005
U4;R05;0.00120848;0.00657398
U4;R06;0.00120578;0.006575340000000001
U4;P05;0.00120975;0.00657335
U4;R08;0.00119816;0.0065791700000000005
U4;N05;0.00120839;0.00657403
U4;P06;0.00120632;0.006575070000000001
U4;N04;0.00121003;0.0065732099999999995
U4;N06;0.00120453;0.00657597
U4;L01;0.00119847;0.006579
U4;L02;0.00120268;0.0065769
U4;J01;0.00119821;0.006579140000000001
U4;K02;0.00120285;0.006576810000000001
U4;H01;0.00119613;0.00658018
U4;J02;0.00120088;0.0065778
U4;G02;0.00119657;0.00657996
U4;M03;0.00120695;0.00657476
U4;M04;0.00120751;0.006574470000000001
U4;H02;0.00119778;0.00657935
U4;R10;0.00119543;0.006580529999999999
U4;P09;0.00119621;0.00658014
U4;P10;0.00119506;0.00658072
U4;P08;0.00119855;0.00657897
U4;P13;0.00118494;0.006585789999999999
U4;M12;0.00118495;0.006585789999999999
U4;G01;0.00119705;0.006579720000000001
