x;y;layer1;layer2;voltage1;voltage2;current
-71.7804;71.7804;TOP_LAYER;MID_LAYER_1;0.0008084;0.000808029;0.00469152
-71.7804;71.7804;MID_LAYER_1;MID_LAYER_2;0.000808029;0.000804389;0.00766712
-71.7804;71.7804;MID_LAYER_2;MID_LAYER_3;0.000804389;0.000803428;0.00958117
-71.7804;71.7804;MID_LAYER_3;MID_LAYER_4;0.000803428;0.000797958;0.011522
-71.7804;71.7804;MID_LAYER_4;BOTTOM_LAYER;0.000797958;0.00079703;0.0117494
-71.7804;111.151;TOP_LAYER;MID_LAYER_1;0.00081313;0.000812751;0.00479371
-71.7804;111.151;MID_LAYER_1;MID_LAYER_2;0.000812751;0.000809075;0.00774423
-71.7804;111.151;MID_LAYER_2;MID_LAYER_3;0.000809075;0.000808083;0.00988555
-71.7804;111.151;MID_LAYER_3;MID_LAYER_4;0.000808083;0.000802521;0.0117156
-71.7804;111.151;MID_LAYER_4;BOTTOM_LAYER;0.000802521;0.000801652;0.0110072
-71.7804;150.521;TOP_LAYER;MID_LAYER_1;0.000818893;0.000818509;0.00486113
-71.7804;150.521;MID_LAYER_1;MID_LAYER_2;0.000818509;0.000814787;0.00783863
-71.7804;150.521;MID_LAYER_2;MID_LAYER_3;0.000814787;0.00081376;0.010237
-71.7804;150.521;MID_LAYER_3;MID_LAYER_4;0.00081376;0.00080802;0.0120925
-71.7804;150.521;MID_LAYER_4;BOTTOM_LAYER;0.00080802;0.000807173;0.0107242
-71.7804;189.891;TOP_LAYER;MID_LAYER_1;0.000825554;0.000825162;0.00496456
-71.7804;189.891;MID_LAYER_1;MID_LAYER_2;0.000825162;0.000821447;0.00782471
-71.7804;189.891;MID_LAYER_2;MID_LAYER_3;0.000821447;0.000820409;0.0103542
-71.7804;189.891;MID_LAYER_3;MID_LAYER_4;0.000820409;0.000814623;0.0121869
-71.7804;189.891;MID_LAYER_4;BOTTOM_LAYER;0.000814623;0.000813885;0.00934424
-71.7804;229.261;TOP_LAYER;MID_LAYER_1;0.000833279;0.000832947;0.00419451
-71.7804;229.261;MID_LAYER_1;MID_LAYER_2;0.000832947;0.000829345;0.00758769
-71.7804;229.261;MID_LAYER_2;MID_LAYER_3;0.000829345;0.00082826;0.0108179
-71.7804;229.261;MID_LAYER_3;MID_LAYER_4;0.00082826;0.000822218;0.0127267
-71.7804;229.261;MID_LAYER_4;BOTTOM_LAYER;0.000822218;0.000821343;0.0110787
-71.7804;268.631;TOP_LAYER;MID_LAYER_1;0.000842086;0.000841699;0.00490619
-71.7804;268.631;MID_LAYER_1;MID_LAYER_2;0.000841699;0.000838011;0.00776735
-71.7804;268.631;MID_LAYER_2;MID_LAYER_3;0.000838011;0.000836919;0.0108834
-71.7804;268.631;MID_LAYER_3;MID_LAYER_4;0.000836919;0.000830928;0.0126201
-71.7804;268.631;MID_LAYER_4;BOTTOM_LAYER;0.000830928;0.000830056;0.011038
-71.7804;308.001;TOP_LAYER;MID_LAYER_1;0.000851295;0.000850878;0.00528264
-71.7804;308.001;MID_LAYER_1;MID_LAYER_2;0.000850878;0.000847152;0.00784659
-71.7804;308.001;MID_LAYER_2;MID_LAYER_3;0.000847152;0.000846129;0.0102045
-71.7804;308.001;MID_LAYER_3;MID_LAYER_4;0.000846129;0.00084055;0.0117513
-71.7804;308.001;MID_LAYER_4;BOTTOM_LAYER;0.00084055;0.000839841;0.00897583
-71.7804;347.371;TOP_LAYER;MID_LAYER_1;0.000860761;0.000860359;0.00508414
-71.7804;347.371;MID_LAYER_1;MID_LAYER_2;0.000860359;0.000856873;0.00734382
-71.7804;347.371;MID_LAYER_2;MID_LAYER_3;0.000856873;0.000855893;0.00976365
-71.7804;347.371;MID_LAYER_3;MID_LAYER_4;0.000855893;0.000850641;0.0110649
-71.7804;347.371;MID_LAYER_4;BOTTOM_LAYER;0.000850641;0.000849907;0.00928689
-71.7804;386.741;TOP_LAYER;MID_LAYER_1;0.000870293;0.000869934;0.00454548
-71.7804;386.741;MID_LAYER_1;MID_LAYER_2;0.000869934;0.00086675;0.006707
-71.7804;386.741;MID_LAYER_2;MID_LAYER_3;0.00086675;0.000865866;0.00881097
-71.7804;386.741;MID_LAYER_3;MID_LAYER_4;0.000865866;0.000861146;0.00994233
-71.7804;386.741;MID_LAYER_4;BOTTOM_LAYER;0.000861146;0.0008605;0.0081767
-71.7804;426.111;TOP_LAYER;MID_LAYER_1;0.00087995;0.000879631;0.00404022
-71.7804;426.111;MID_LAYER_1;MID_LAYER_2;0.000879631;0.000876733;0.00610513
-71.7804;426.111;MID_LAYER_2;MID_LAYER_3;0.000876733;0.000875967;0.0076298
-71.7804;426.111;MID_LAYER_3;MID_LAYER_4;0.000875967;0.000871889;0.00859102
-71.7804;426.111;MID_LAYER_4;BOTTOM_LAYER;0.000871889;0.000871392;0.00628945
-71.7804;465.481;TOP_LAYER;MID_LAYER_1;0.00088995;0.000889658;0.0036896
-71.7804;465.481;MID_LAYER_1;MID_LAYER_2;0.000889658;0.000886988;0.0056247
-71.7804;465.481;MID_LAYER_2;MID_LAYER_3;0.000886988;0.000886278;0.00708033
-71.7804;465.481;MID_LAYER_3;MID_LAYER_4;0.000886278;0.000882535;0.00788338
-71.7804;465.481;MID_LAYER_4;BOTTOM_LAYER;0.000882535;0.000882063;0.00598029
-71.7804;504.851;TOP_LAYER;MID_LAYER_1;0.000900068;0.00089978;0.00363701
-71.7804;504.851;MID_LAYER_1;MID_LAYER_2;0.00089978;0.000897228;0.00537711
-71.7804;504.851;MID_LAYER_2;MID_LAYER_3;0.000897228;0.000896568;0.0065786
-71.7804;504.851;MID_LAYER_3;MID_LAYER_4;0.000896568;0.000893154;0.00719049
-71.7804;504.851;MID_LAYER_4;BOTTOM_LAYER;0.000893154;0.000892728;0.00539129
-71.7804;544.221;TOP_LAYER;MID_LAYER_1;0.000910194;0.000909886;0.00389373
-71.7804;544.221;MID_LAYER_1;MID_LAYER_2;0.000909886;0.000907341;0.00536155
-71.7804;544.221;MID_LAYER_2;MID_LAYER_3;0.000907341;0.000906728;0.00610861
-71.7804;544.221;MID_LAYER_3;MID_LAYER_4;0.000906728;0.000903658;0.00646737
-71.7804;544.221;MID_LAYER_4;BOTTOM_LAYER;0.000903658;0.000903296;0.00457515
-71.7804;583.591;TOP_LAYER;MID_LAYER_1;0.000920014;0.000919672;0.00433716
-71.7804;583.591;MID_LAYER_1;MID_LAYER_2;0.000919672;0.000917261;0.0050778
-71.7804;583.591;MID_LAYER_2;MID_LAYER_3;0.000917261;0.000916679;0.00579565
-71.7804;583.591;MID_LAYER_3;MID_LAYER_4;0.000916679;0.000913792;0.00608168
-71.7804;583.591;MID_LAYER_4;BOTTOM_LAYER;0.000913792;0.000913447;0.00437319
-71.7804;622.962;TOP_LAYER;MID_LAYER_1;0.000929353;0.000929039;0.00398143
-71.7804;622.962;MID_LAYER_1;MID_LAYER_2;0.000929039;0.000926859;0.00459004
-71.7804;622.962;MID_LAYER_2;MID_LAYER_3;0.000926859;0.000926328;0.00529952
-71.7804;622.962;MID_LAYER_3;MID_LAYER_4;0.000926328;0.000923671;0.00559599
-71.7804;622.962;MID_LAYER_4;BOTTOM_LAYER;0.000923671;0.000923356;0.00398655
-71.7804;662.332;TOP_LAYER;MID_LAYER_1;0.000938355;0.000938105;0.00316245
-71.7804;662.332;MID_LAYER_1;MID_LAYER_2;0.000938105;0.000936172;0.00407278
-71.7804;662.332;MID_LAYER_2;MID_LAYER_3;0.000936172;0.000935696;0.00474205
-71.7804;662.332;MID_LAYER_3;MID_LAYER_4;0.000935696;0.00093328;0.00508978
-71.7804;662.332;MID_LAYER_4;BOTTOM_LAYER;0.00093328;0.000933;0.00353679
-71.7804;701.702;TOP_LAYER;MID_LAYER_1;0.000947381;0.000947077;0.00384052
-71.7804;701.702;MID_LAYER_1;MID_LAYER_2;0.000947077;0.000945367;0.00360349
-71.7804;701.702;MID_LAYER_2;MID_LAYER_3;0.000945367;0.000944903;0.00462738
-71.7804;701.702;MID_LAYER_3;MID_LAYER_4;0.000944903;0.000942481;0.00510092
-71.7804;701.702;MID_LAYER_4;BOTTOM_LAYER;0.000942481;0.000942201;0.00354402
-71.7804;741.072;TOP_LAYER;MID_LAYER_1;0.000956677;0.000956279;0.00504797
-71.7804;741.072;MID_LAYER_1;MID_LAYER_2;0.000956279;0.000954467;0.00381594
-71.7804;741.072;MID_LAYER_2;MID_LAYER_3;0.000954467;0.000953977;0.00488737
-71.7804;741.072;MID_LAYER_3;MID_LAYER_4;0.000953977;0.000951431;0.00536158
-71.7804;741.072;MID_LAYER_4;BOTTOM_LAYER;0.000951431;0.000951138;0.00370667
-71.7804;780.442;TOP_LAYER;MID_LAYER_1;0.000966356;0.000965891;0.0058954
-71.7804;780.442;MID_LAYER_1;MID_LAYER_2;0.000965891;0.00096354;0.00495075
-71.7804;780.442;MID_LAYER_2;MID_LAYER_3;0.00096354;0.000962973;0.00565512
-71.7804;780.442;MID_LAYER_3;MID_LAYER_4;0.000962973;0.000960123;0.00600279
-71.7804;780.442;MID_LAYER_4;BOTTOM_LAYER;0.000960123;0.000959797;0.00412989
-71.7804;819.812;TOP_LAYER;MID_LAYER_1;0.000977453;0.000976552;0.0114083
-71.7804;819.812;MID_LAYER_1;MID_LAYER_2;0.000976552;0.000972905;0.0076835
-71.7804;819.812;MID_LAYER_2;MID_LAYER_3;0.000972905;0.000972081;0.00821272
-71.7804;819.812;MID_LAYER_3;MID_LAYER_4;0.000972081;0.000968347;0.00786556
-71.7804;819.812;MID_LAYER_4;BOTTOM_LAYER;0.000968347;0.000967925;0.00534339
-71.7804;859.182;TOP_LAYER;MID_LAYER_1;0.000989138;0.000987875;0.0159895
-71.7804;859.182;MID_LAYER_1;MID_LAYER_2;0.000987875;0.000981984;0.0124097
-71.7804;859.182;MID_LAYER_2;MID_LAYER_3;0.000981984;0.000980814;0.0116646
-71.7804;859.182;MID_LAYER_3;MID_LAYER_4;0.000980814;0.000976016;0.0101047
-71.7804;859.182;MID_LAYER_4;BOTTOM_LAYER;0.000976016;0.00097548;0.00679743
-71.7804;898.552;TOP_LAYER;MID_LAYER_1;0.000998087;0.000996716;0.0173501
-71.7804;898.552;MID_LAYER_1;MID_LAYER_2;0.000996716;0.000989777;0.0146167
-71.7804;898.552;MID_LAYER_2;MID_LAYER_3;0.000989777;0.000988402;0.0137106
-71.7804;898.552;MID_LAYER_3;MID_LAYER_4;0.000988402;0.000982804;0.0117912
-71.7804;898.552;MID_LAYER_4;BOTTOM_LAYER;0.000982804;0.000982177;0.00793702
-71.7804;937.922;TOP_LAYER;MID_LAYER_1;0.00100514;0.00100372;0.0179433
-71.7804;937.922;MID_LAYER_1;MID_LAYER_2;0.00100372;0.000996218;0.0157961
-71.7804;937.922;MID_LAYER_2;MID_LAYER_3;0.000996218;0.000994713;0.0150011
-71.7804;937.922;MID_LAYER_3;MID_LAYER_4;0.000994713;0.000988529;0.0130266
-71.7804;937.922;MID_LAYER_4;BOTTOM_LAYER;0.000988529;0.000987834;0.00880042
-71.7804;977.292;TOP_LAYER;MID_LAYER_1;0.00101074;0.00100929;0.0184044
-71.7804;977.292;MID_LAYER_1;MID_LAYER_2;0.00100929;0.0010014;0.0166116
-71.7804;977.292;MID_LAYER_2;MID_LAYER_3;0.0010014;0.000999798;0.0159824
-71.7804;977.292;MID_LAYER_3;MID_LAYER_4;0.000999798;0.000993131;0.0140432
-71.7804;977.292;MID_LAYER_4;BOTTOM_LAYER;0.000993131;0.000992378;0.00953363
-71.7804;1016.66;TOP_LAYER;MID_LAYER_1;0.00101516;0.00101366;0.0189718
-71.7804;1016.66;MID_LAYER_1;MID_LAYER_2;0.00101366;0.00100541;0.0173866
-71.7804;1016.66;MID_LAYER_2;MID_LAYER_3;0.00100541;0.00100371;0.0169075
-71.7804;1016.66;MID_LAYER_3;MID_LAYER_4;0.00100371;0.00099659;0.0150031
-71.7804;1016.66;MID_LAYER_4;BOTTOM_LAYER;0.00099659;0.000995781;0.0102442
-71.7804;1056.03;TOP_LAYER;MID_LAYER_1;0.00101852;0.00101697;0.0195738
-71.7804;1056.03;MID_LAYER_1;MID_LAYER_2;0.00101697;0.00100829;0.0182877
-71.7804;1056.03;MID_LAYER_2;MID_LAYER_3;0.00100829;0.00100649;0.017918
-71.7804;1056.03;MID_LAYER_3;MID_LAYER_4;0.00100649;0.000998899;0.0159945
-71.7804;1056.03;MID_LAYER_4;BOTTOM_LAYER;0.000998899;0.000998031;0.0109892
-71.7804;1095.4;TOP_LAYER;MID_LAYER_1;0.0010212;0.00101949;0.021652
-71.7804;1095.4;MID_LAYER_1;MID_LAYER_2;0.00101949;0.00101012;0.0197413
-71.7804;1095.4;MID_LAYER_2;MID_LAYER_3;0.00101012;0.00100819;0.0192128
