x;y;layer1;layer2;voltage1;voltage2;current
674.991;-85.6998;MID_LAYER_4;BOTTOM_LAYER;0.000477942;0.000476169;0.0224539
677.511;1646.58;TOP_LAYER;MID_LAYER_1;0.000485769;0.000485236;0.00674697
677.511;1646.58;MID_LAYER_1;MID_LAYER_2;0.000485236;0.000480396;0.0101958
677.511;1646.58;MID_LAYER_2;MID_LAYER_3;0.000480396;0.000479411;0.00981507
677.511;1646.58;MID_LAYER_3;MID_LAYER_4;0.000479411;0.000475006;0.00927774
677.511;1646.58;MID_LAYER_4;BOTTOM_LAYER;0.000475006;0.000474352;0.00828623
675.657;894.105;TOP_LAYER;MID_LAYER_1;0.000567533;0.000564948;0.0123646
675.657;894.105;MID_LAYER_1;MID_LAYER_2;0.000564948;0.000546308;0.0148372
675.657;894.105;MID_LAYER_2;MID_LAYER_3;0.000546308;0.000542631;0.0138503
675.657;894.105;MID_LAYER_3;MID_LAYER_4;0.000542631;0.000522131;0.0163176
675.657;894.105;MID_LAYER_4;BOTTOM_LAYER;0.000522131;0.000518726;0.0162876
675.657;1012.22;TOP_LAYER;MID_LAYER_1;0.000568054;0.000562769;0.0252844
675.657;1012.22;MID_LAYER_1;MID_LAYER_2;0.000562769;0.000541889;0.0166195
675.657;1012.22;MID_LAYER_2;MID_LAYER_3;0.000541889;0.00053759;0.0161958
675.657;1012.22;MID_LAYER_3;MID_LAYER_4;0.00053759;0.000515654;0.0174602
675.657;1012.22;MID_LAYER_4;BOTTOM_LAYER;0.000515654;0.000513289;0.0113158
675.657;1130.33;TOP_LAYER;MID_LAYER_1;0.000575467;0.000564951;0.0503071
675.657;1130.33;MID_LAYER_1;MID_LAYER_2;0.000564951;0.000536861;0.0223589
675.657;1130.33;MID_LAYER_2;MID_LAYER_3;0.000536861;0.000531445;0.0204016
675.657;1130.33;MID_LAYER_3;MID_LAYER_4;0.000531445;0.000506642;0.0197425
675.657;1130.33;MID_LAYER_4;BOTTOM_LAYER;0.000506642;0.00050343;0.0153643
675.657;1248.44;TOP_LAYER;MID_LAYER_1;0.000553833;0.000547194;0.0317591
675.657;1248.44;MID_LAYER_1;MID_LAYER_2;0.000547194;0.000526398;0.0165534
675.657;1248.44;MID_LAYER_2;MID_LAYER_3;0.000526398;0.000520754;0.0212604
675.657;1248.44;MID_LAYER_3;MID_LAYER_4;0.000520754;0.000492427;0.0225472
675.657;1248.44;MID_LAYER_4;BOTTOM_LAYER;0.000492427;0.000487045;0.0257477
675.657;1366.55;TOP_LAYER;MID_LAYER_1;0.000524279;0.000523086;0.00570944
675.657;1366.55;MID_LAYER_1;MID_LAYER_2;0.000523086;0.000514842;0.00656183
675.657;1366.55;MID_LAYER_2;MID_LAYER_3;0.000514842;0.000508664;0.0232706
675.657;1366.55;MID_LAYER_3;MID_LAYER_4;0.000508664;0.000475297;0.0265597
675.657;1366.55;MID_LAYER_4;BOTTOM_LAYER;0.000475297;0.00046586;0.0451451
675.657;1484.66;TOP_LAYER;MID_LAYER_1;0.000505371;0.000505098;0.00130853
675.657;1484.66;MID_LAYER_1;MID_LAYER_2;0.000505098;0.000499762;0.00424762
675.657;1484.66;MID_LAYER_2;MID_LAYER_3;0.000499762;0.000497393;0.00892051
675.657;1484.66;MID_LAYER_3;MID_LAYER_4;0.000497393;0.000471885;0.0203044
675.657;1484.66;MID_LAYER_4;BOTTOM_LAYER;0.000471885;0.000465062;0.0326402
714.361;-85.6998;TOP_LAYER;MID_LAYER_1;0.000511934;0.000510704;0.0155791
714.361;-85.6998;MID_LAYER_1;MID_LAYER_2;0.000510704;0.000500386;0.0217346
714.361;-85.6998;MID_LAYER_2;MID_LAYER_3;0.000500386;0.000498346;0.0203348
714.361;-85.6998;MID_LAYER_3;MID_LAYER_4;0.000498346;0.000489321;0.0190095
714.361;-85.6998;MID_LAYER_4;BOTTOM_LAYER;0.000489321;0.000487711;0.0203889
716.881;1646.58;TOP_LAYER;MID_LAYER_1;0.000493561;0.000493081;0.0060794
716.881;1646.58;MID_LAYER_1;MID_LAYER_2;0.000493081;0.000488723;0.00917871
716.881;1646.58;MID_LAYER_2;MID_LAYER_3;0.000488723;0.000487842;0.00877972
716.881;1646.58;MID_LAYER_3;MID_LAYER_4;0.000487842;0.000483941;0.00821847
716.881;1646.58;MID_LAYER_4;BOTTOM_LAYER;0.000483941;0.000483393;0.00693849
723.256;340.72;TOP_LAYER;MID_LAYER_1;0.000669297;0.000650505;0.0898961
723.256;340.72;MID_LAYER_1;MID_LAYER_2;0.000650505;0.000567945;0.0657157
723.256;340.72;MID_LAYER_2;MID_LAYER_3;0.000567945;0.000554921;0.0490586
723.256;340.72;MID_LAYER_3;MID_LAYER_4;0.000554921;0.00049102;0.0508639
723.256;340.72;MID_LAYER_4;BOTTOM_LAYER;0.00049102;0.00048405;0.0333413
723.256;532.649;TOP_LAYER;MID_LAYER_1;0.000631589;0.000621381;0.0488326
723.256;532.649;MID_LAYER_1;MID_LAYER_2;0.000621381;0.000564289;0.0454441
723.256;532.649;MID_LAYER_2;MID_LAYER_3;0.000564289;0.000555164;0.03437
723.256;532.649;MID_LAYER_3;MID_LAYER_4;0.000555164;0.000513319;0.033308
723.256;532.649;MID_LAYER_4;BOTTOM_LAYER;0.000513319;0.000507361;0.0285019
753.731;-85.6998;TOP_LAYER;MID_LAYER_1;0.000518749;0.000517669;0.0136667
753.731;-85.6998;MID_LAYER_1;MID_LAYER_2;0.000517669;0.000508611;0.0190811
753.731;-85.6998;MID_LAYER_2;MID_LAYER_3;0.000508611;0.000506834;0.017711
753.731;-85.6998;MID_LAYER_3;MID_LAYER_4;0.000506834;0.000498996;0.0165108
753.731;-85.6998;MID_LAYER_4;BOTTOM_LAYER;0.000498996;0.000497697;0.0164442
756.251;1646.58;TOP_LAYER;MID_LAYER_1;0.000500992;0.000500556;0.00552318
756.251;1646.58;MID_LAYER_1;MID_LAYER_2;0.000500556;0.000496615;0.00830151
756.251;1646.58;MID_LAYER_2;MID_LAYER_3;0.000496615;0.000495822;0.00790418
756.251;1646.58;MID_LAYER_3;MID_LAYER_4;0.000495822;0.000492334;0.00734586
756.251;1646.58;MID_LAYER_4;BOTTOM_LAYER;0.000492334;0.000491867;0.00591144
793.101;-85.6998;TOP_LAYER;MID_LAYER_1;0.000524971;0.000524028;0.0119383
793.101;-85.6998;MID_LAYER_1;MID_LAYER_2;0.000524028;0.000516085;0.0167306
793.101;-85.6998;MID_LAYER_2;MID_LAYER_3;0.000516085;0.000514517;0.0156284
793.101;-85.6998;MID_LAYER_3;MID_LAYER_4;0.000514517;0.000507496;0.0147887
793.101;-85.6998;MID_LAYER_4;BOTTOM_LAYER;0.000507496;0.000506532;0.0122034
795.621;1646.58;TOP_LAYER;MID_LAYER_1;0.000508069;0.000507669;0.00506952
795.621;1646.58;MID_LAYER_1;MID_LAYER_2;0.000507669;0.000504073;0.00757314
795.621;1646.58;MID_LAYER_2;MID_LAYER_3;0.000504073;0.000503352;0.00719329
795.621;1646.58;MID_LAYER_3;MID_LAYER_4;0.000503352;0.000500191;0.00665841
795.621;1646.58;MID_LAYER_4;BOTTOM_LAYER;0.000500191;0.000499784;0.00515568
793.767;657.885;TOP_LAYER;MID_LAYER_1;0.000593879;0.000590546;0.0159427
793.767;657.885;MID_LAYER_1;MID_LAYER_2;0.000590546;0.000558702;0.0253467
793.767;657.885;MID_LAYER_2;MID_LAYER_3;0.000558702;0.000553141;0.0209469
793.767;657.885;MID_LAYER_3;MID_LAYER_4;0.000553141;0.000525882;0.021698
793.767;657.885;MID_LAYER_4;BOTTOM_LAYER;0.000525882;0.000522947;0.0140408
793.767;894.105;TOP_LAYER;MID_LAYER_1;0.000574126;0.000571054;0.0146966
793.767;894.105;MID_LAYER_1;MID_LAYER_2;0.000571054;0.000550276;0.016539
793.767;894.105;MID_LAYER_2;MID_LAYER_3;0.000550276;0.00054682;0.0130149
793.767;894.105;MID_LAYER_3;MID_LAYER_4;0.00054682;0.000529421;0.0138498
793.767;894.105;MID_LAYER_4;BOTTOM_LAYER;0.000529421;0.000527215;0.0105506
793.767;1012.22;TOP_LAYER;MID_LAYER_1;0.000570994;0.000567862;0.0149848
793.767;1012.22;MID_LAYER_1;MID_LAYER_2;0.000567862;0.000546504;0.0170004
793.767;1012.22;MID_LAYER_2;MID_LAYER_3;0.000546504;0.000542788;0.0139978
793.767;1012.22;MID_LAYER_3;MID_LAYER_4;0.000542788;0.000525111;0.0140704
793.767;1012.22;MID_LAYER_4;BOTTOM_LAYER;0.000525111;0.000522769;0.0112033
793.767;1130.33;TOP_LAYER;MID_LAYER_1;0.000566395;0.000563129;0.015627
793.767;1130.33;MID_LAYER_1;MID_LAYER_2;0.000563129;0.000541723;0.0170385
793.767;1130.33;MID_LAYER_2;MID_LAYER_3;0.000541723;0.000537608;0.0154985
793.767;1130.33;MID_LAYER_3;MID_LAYER_4;0.000537608;0.000518791;0.0149782
793.767;1130.33;MID_LAYER_4;BOTTOM_LAYER;0.000518791;0.000516368;0.0115903
793.767;1248.44;TOP_LAYER;MID_LAYER_1;0.00055476;0.000552219;0.0121577
793.767;1248.44;MID_LAYER_1;MID_LAYER_2;0.000552219;0.00053462;0.0140081
793.767;1248.44;MID_LAYER_2;MID_LAYER_3;0.00053462;0.000530371;0.0160043
793.767;1248.44;MID_LAYER_3;MID_LAYER_4;0.000530371;0.000510117;0.0161218
793.767;1248.44;MID_LAYER_4;BOTTOM_LAYER;0.000510117;0.000507201;0.0139504
793.767;1366.55;TOP_LAYER;MID_LAYER_1;0.00053814;0.000536832;0.00625844
793.767;1366.55;MID_LAYER_1;MID_LAYER_2;0.000536832;0.000526703;0.00806226
793.767;1366.55;MID_LAYER_2;MID_LAYER_3;0.000526703;0.000522275;0.0166812
793.767;1366.55;MID_LAYER_3;MID_LAYER_4;0.000522275;0.000501038;0.0169041
793.767;1366.55;MID_LAYER_4;BOTTOM_LAYER;0.000501038;0.000497305;0.0178569
793.767;1484.66;TOP_LAYER;MID_LAYER_1;0.000523007;0.000522181;0.0039508
793.767;1484.66;MID_LAYER_1;MID_LAYER_2;0.000522181;0.000514875;0.00581597
793.767;1484.66;MID_LAYER_2;MID_LAYER_3;0.000514875;0.000513312;0.00588534
793.767;1484.66;MID_LAYER_3;MID_LAYER_4;0.000513312;0.000497975;0.0122079
793.767;1484.66;MID_LAYER_4;BOTTOM_LAYER;0.000497975;0.000495435;0.0121506
798.059;67.098;TOP_LAYER;MID_LAYER_1;0.000557493;0.000554839;0.0126944
800.028;735.405;MID_LAYER_4;BOTTOM_LAYER;0.000523969;0.000523368;0.00287615
807.902;102.531;MID_LAYER_1;MID_LAYER_2;0.000557468;0.00056151;-0.00321676
832.471;-85.6998;TOP_LAYER;MID_LAYER_1;0.000530682;0.000529867;0.0103218
832.471;-85.6998;MID_LAYER_1;MID_LAYER_2;0.000529867;0.000523034;0.014394
832.471;-85.6998;MID_LAYER_2;MID_LAYER_3;0.000523034;0.000521685;0.0134407
832.471;-85.6998;MID_LAYER_3;MID_LAYER_4;0.000521685;0.000515627;0.0127616
832.471;-85.6998;MID_LAYER_4;BOTTOM_LAYER;0.000515627;0.000514889;0.00934036
828.571;12.9641;MID_LAYER_4;BOTTOM_LAYER;0.000500894;0.000500377;0.00247367
834.991;1646.58;TOP_LAYER;MID_LAYER_1;0.000514813;0.000514441;0.00471704
834.991;1646.58;MID_LAYER_1;MID_LAYER_2;0.000514441;0.000511119;0.00699798
834.991;1646.58;MID_LAYER_2;MID_LAYER_3;0.000511119;0.000510451;0.00665001
834.991;1646.58;MID_LAYER_3;MID_LAYER_4;0.000510451;0.000507527;0.00615975
834.991;1646.58;MID_LAYER_4;BOTTOM_LAYER;0.000507527;0.000507159;0.0046634
865.973;663.555;MID_LAYER_4;BOTTOM_LAYER;0.000525384;0.000524967;0.00199192
871.841;-85.6998;TOP_LAYER;MID_LAYER_1;0.000535945;0.000535256;0.00872224
871.841;-85.6998;MID_LAYER_1;MID_LAYER_2;0.000535256;0.000529558;0.0120014
871.841;-85.6998;MID_LAYER_2;MID_LAYER_3;0.000529558;0.000528454;0.0110063
871.841;-85.6998;MID_LAYER_3;MID_LAYER_4;0.000528454;0.000523597;0.0102308
871.841;-85.6998;MID_LAYER_4;BOTTOM_LAYER;0.000523597;0.000522985;0.00775535
874.361;1646.58;TOP_LAYER;MID_LAYER_1;0.000521248;0.000520896;0.00445338
874.361;1646.58;MID_LAYER_1;MID_LAYER_2;0.000520896;0.000517784;0.0065561
874.361;1646.58;MID_LAYER_2;MID_LAYER_3;0.000517784;0.000517156;0.00625436
874.361;1646.58;MID_LAYER_3;MID_LAYER_4;0.000517156;0.000514388;0.00583022
874.361;1646.58;MID_LAYER_4;BOTTOM_LAYER;0.000514388;0.000514041;0.00439008
911.212;-85.6998;TOP_LAYER;MID_LAYER_1;0.000540776;0.000540206;0.00721956
911.212;-85.6998;MID_LAYER_1;MID_LAYER_2;0.000540206;0.000535601;0.00970081
911.212;-85.6998;MID_LAYER_2;MID_LAYER_3;0.000535601;0.000534735;0.00863273
911.212;-85.6998;MID_LAYER_3;MID_LAYER_4;0.000534735;0.000531075;0.00770875
911.212;-85.6998;MID_LAYER_4;BOTTOM_LAYER;0.000531075;0.00053054;0.00677393
908.296;107.413;MID_LAYER_4;BOTTOM_LAYER;3.19644;3.19643;0.0105738
913.731;1646.58;TOP_LAYER;MID_LAYER_1;0.000527406;0.00052707;0.00426281
913.731;1646.58;MID_LAYER_1;MID_LAYER_2;0.00052707;0.000524118;0.00621811
913.731;1646.58;MID_LAYER_2;MID_LAYER_3;0.000524118;0.000523518;0.00597742
913.731;1646.58;MID_LAYER_3;MID_LAYER_4;0.000523518;0.000520837;0.00564809
913.731;1646.58;MID_LAYER_4;BOTTOM_LAYER;0.000520837;0.000520495;0.00432009
911.878;1248.44;TOP_LAYER;MID_LAYER_1;0.000574318;0.000569373;0.0236597
911.878;1248.44;MID_LAYER_1;MID_LAYER_2;0.000569373;0.000546161;0.0184756
911.878;1248.44;MID_LAYER_2;MID_LAYER_3;0.000546161;0.000541788;0.0164729
911.878;1248.44;MID_LAYER_3;MID_LAYER_4;0.000541788;0.000524961;0.0133936
911.878;1248.44;MID_LAYER_4;BOTTOM_LAYER;0.000524961;0.000522848;0.0101078
911.878;1484.66;TOP_LAYER;MID_LAYER_1;0.000539506;0.000538433;0.00513369
911.878;1484.66;MID_LAYER_1;MID_LAYER_2;0.000538433;0.000530143;0.00659847
911.878;1484.66;MID_LAYER_2;MID_LAYER_3;0.000530143;0.000528772;0.00516544
911.878;1484.66;MID_LAYER_3;MID_LAYER_4;0.000528772;0.000517916;0.00864087
911.878;1484.66;MID_LAYER_4;BOTTOM_LAYER;0.000517916;0.000516233;0.00805145
925.028;195.051;MID_LAYER_1;MID_LAYER_2;0.000566243;0.000565128;0.000887684
930.737;351.547;TOP_LAYER;MID_LAYER_1;5.00171;5.00171;-0.00018
939.792;134.027;MID_LAYER_4;BOTTOM_LAYER;0.000546263;0.000545638;0.00298846
950.582;-85.6998;TOP_LAYER;MID_LAYER_1;0.000545187;0.000544713;0.00599789
950.582;-85.6998;MID_LAYER_1;MID_LAYER_2;0.000544713;0.000541068;0.00767703
950.582;-85.6998;MID_LAYER_2;MID_LAYER_3;0.000541068;0.000540391;0.00675005
950.582;-85.6998;MID_LAYER_3;MID_LAYER_4;0.000540391;0.000537563;0.0059565
950.582;-85.6998;MID_LAYER_4;BOTTOM_LAYER;0.000537563;0.000537151;0.00522069
947.666;292.492;MID_LAYER_4;BOTTOM_LAYER;3.19616;3.19615;0.0105414
953.101;1646.58;TOP_LAYER;MID_LAYER_1;0.000533334;0.000533008;0.00411702
953.101;1646.58;MID_LAYER_1;MID_LAYER_2;0.000533008;0.000530192;0.00593356
953.101;1646.58;MID_LAYER_2;MID_LAYER_3;0.000530192;0.000529613;0.00576454
953.101;1646.58;MID_LAYER_3;MID_LAYER_4;0.000529613;0.00052697;0.0055676
953.101;1646.58;MID_LAYER_4;BOTTOM_LAYER;0.00052697;0.000526619;0.00445084
972.272;225.563;TOP_LAYER;MID_LAYER_1;0.000579228;0.000576481;0.0131366
981.13;74.972;TOP_LAYER;MID_LAYER_1;0.000561433;0.000559916;0.00725298
989.952;-85.6998;TOP_LAYER;MID_LAYER_1;0.000549234;0.000548829;0.00513624
989.952;-85.6998;MID_LAYER_1;MID_LAYER_2;0.000548829;0.000546039;0.00587677
989.952;-85.6998;MID_LAYER_2;MID_LAYER_3;0.000546039;0.000545518;0.00519343
989.952;-85.6998;MID_LAYER_3;MID_LAYER_4;0.000545518;0.000543329;0.00461143
989.952;-85.6998;MID_LAYER_4;BOTTOM_LAYER;0.000543329;0.00054301;0.00403898
992.472;1646.58;TOP_LAYER;MID_LAYER_1;0.000539069;0.000538757;0.0039424
992.472;1646.58;MID_LAYER_1;MID_LAYER_2;0.000538757;0.000536104;0.00558905
992.472;1646.58;MID_LAYER_2;MID_LAYER_3;0.000536104;0.000535554;0.00547494
992.472;1646.58;MID_LAYER_3;MID_LAYER_4;0.000535554;0.000532987;0.00540932
992.472;1646.58;MID_LAYER_4;BOTTOM_LAYER;0.000532987;0.000532621;0.00462748
1006.72;595.681;MID_LAYER_4;BOTTOM_LAYER;3.18945;3.18945;0.0101945
1006.72;662.57;MID_LAYER_1;MID_LAYER_2;3.18963;3.18954;0.0704231
1006.72;662.57;MID_LAYER_2;MID_LAYER_3;3.18954;3.18954;0.0101945
1006.72;662.57;MID_LAYER_3;MID_LAYER_4;3.18954;3.18953;0.0101945
1029.32;-85.6998;TOP_LAYER;MID_LAYER_1;0.000553032;0.000552674;0.00452599
1029.32;-85.6998;MID_LAYER_1;MID_LAYER_2;0.000552674;0.000550637;0.00429132
1029.32;-85.6998;MID_LAYER_2;MID_LAYER_3;0.000550637;0.000550245;0.00391073
1029.32;-85.6998;MID_LAYER_3;MID_LAYER_4;0.000550245;0.000548537;0.00359837
1029.32;-85.6998;MID_LAYER_4;BOTTOM_LAYER;0.000548537;0.000548287;0.00316169
1027.39;758.043;TOP_LAYER;MID_LAYER_1;0.000588838;0.000586989;0.00884802
1027.39;758.043;MID_LAYER_1;MID_LAYER_2;0.000586989;0.000569961;0.0135535
1027.39;758.043;MID_LAYER_2;MID_LAYER_3;0.000569961;0.000564743;0.0196559
1027.39;758.043;MID_LAYER_3;MID_LAYER_4;0.000564743;0.000551183;0.0107932
1027.39;758.043;MID_LAYER_4;BOTTOM_LAYER;0.000551183;0.000549328;0.00887457
1031.84;1646.58;TOP_LAYER;MID_LAYER_1;0.000544637;0.000544348;0.00365772
1031.84;1646.58;MID_LAYER_1;MID_LAYER_2;0.000544348;0.000541959;0.00503343
1031.84;1646.58;MID_LAYER_2;MID_LAYER_3;0.000541959;0.000541472;0.0048486
1031.84;1646.58;MID_LAYER_3;MID_LAYER_4;0.000541472;0.000539297;0.00458247
1031.84;1646.58;MID_LAYER_4;BOTTOM_LAYER;0.000539297;0.000539062;0.0029717
1029.99;1012.22;TOP_LAYER;MID_LAYER_1;0.000596507;0.000591962;0.0217439
1029.99;1012.22;MID_LAYER_1;MID_LAYER_2;0.000591962;0.000571223;0.0165073
1029.99;1012.22;MID_LAYER_2;MID_LAYER_3;0.000571223;0.000564698;0.0245813
1029.99;1012.22;MID_LAYER_3;MID_LAYER_4;0.000564698;0.000548077;0.01323
1029.99;1012.22;MID_LAYER_4;BOTTOM_LAYER;0.000548077;0.000547429;0.00309788
1029.99;1248.44;TOP_LAYER;MID_LAYER_1;0.000607078;0.000599462;0.0364325
1029.99;1248.44;MID_LAYER_1;MID_LAYER_2;0.000599462;0.000559031;0.0321827
1029.99;1248.44;MID_LAYER_2;MID_LAYER_3;0.000559031;0.000552835;0.0233368
1029.99;1248.44;MID_LAYER_3;MID_LAYER_4;0.000552835;0.000535163;0.0140666
1029.99;1248.44;MID_LAYER_4;BOTTOM_LAYER;0.000535163;0.000531599;0.0170516
1029.99;1366.55;TOP_LAYER;MID_LAYER_1;0.000568012;0.000564195;0.0182628
1029.99;1366.55;MID_LAYER_1;MID_LAYER_2;0.000564195;0.000551248;0.0103054
1029.99;1366.55;MID_LAYER_2;MID_LAYER_3;0.000551248;0.000547236;0.015111
1029.99;1366.55;MID_LAYER_3;MID_LAYER_4;0.000547236;0.000533071;0.0112754
1029.99;1366.55;MID_LAYER_4;BOTTOM_LAYER;0.000533071;0.000529906;0.0151408
1029.99;1484.66;TOP_LAYER;MID_LAYER_1;0.000554714;0.00055312;0.00762333
1029.99;1484.66;MID_LAYER_1;MID_LAYER_2;0.00055312;0.000543662;0.0075291
1029.99;1484.66;MID_LAYER_2;MID_LAYER_3;0.000543662;0.000541985;0.00631616
1029.99;1484.66;MID_LAYER_3;MID_LAYER_4;0.000541985;0.000532274;0.00772932
