x;y;layer1;layer2;voltage1;voltage2;current
3235.31;71.7805;MID_LAYER_2;MID_LAYER_3;0.000251445;0.000251441;4.20364e-05
3235.31;71.7805;MID_LAYER_3;MID_LAYER_4;0.000251441;0.000251403;7.93611e-05
3235.31;71.7805;MID_LAYER_4;BOTTOM_LAYER;0.000251403;0.000251393;0.000129536
3235.31;111.151;TOP_LAYER;MID_LAYER_1;0.000251686;0.000251679;8.81377e-05
3235.31;111.151;MID_LAYER_1;MID_LAYER_2;0.000251679;0.000251619;0.000125601
3235.31;111.151;MID_LAYER_2;MID_LAYER_3;0.000251619;0.000251615;4.39283e-05
3235.31;111.151;MID_LAYER_3;MID_LAYER_4;0.000251615;0.000251577;8.01128e-05
3235.31;111.151;MID_LAYER_4;BOTTOM_LAYER;0.000251577;0.000251567;0.000118488
3235.31;150.521;TOP_LAYER;MID_LAYER_1;0.000251889;0.000251881;0.00010039
3235.31;150.521;MID_LAYER_1;MID_LAYER_2;0.000251881;0.000251816;0.000137117
3235.31;150.521;MID_LAYER_2;MID_LAYER_3;0.000251816;0.000251813;3.03465e-05
3235.31;150.521;MID_LAYER_3;MID_LAYER_4;0.000251813;0.000251774;8.16517e-05
3235.31;150.521;MID_LAYER_4;BOTTOM_LAYER;0.000251774;0.000251765;0.000119547
3235.31;189.891;TOP_LAYER;MID_LAYER_1;0.000252115;0.000252106;0.000111588
3235.31;189.891;MID_LAYER_1;MID_LAYER_2;0.000252106;0.000252036;0.000147402
3235.31;189.891;MID_LAYER_2;MID_LAYER_3;0.000252036;0.000252035;9.24053e-06
3235.31;189.891;MID_LAYER_3;MID_LAYER_4;0.000252035;0.000251994;8.63108e-05
3235.31;189.891;MID_LAYER_4;BOTTOM_LAYER;0.000251994;0.000251985;0.000118735
3235.31;229.261;TOP_LAYER;MID_LAYER_1;0.000252362;0.000252353;0.000104679
3235.31;229.261;MID_LAYER_1;MID_LAYER_2;0.000252353;0.000252293;0.000126858
3235.31;229.261;MID_LAYER_2;MID_LAYER_3;0.000252293;0.000252289;3.72944e-05
3235.31;229.261;MID_LAYER_3;MID_LAYER_4;0.000252289;0.000252236;0.000113323
3235.31;229.261;MID_LAYER_4;BOTTOM_LAYER;0.000252236;0.000252226;0.000128027
3235.31;268.631;TOP_LAYER;MID_LAYER_1;0.000252625;0.000252618;9.19542e-05
3235.31;268.631;MID_LAYER_1;MID_LAYER_2;0.000252618;0.000252576;8.93742e-05
3235.31;268.631;MID_LAYER_2;MID_LAYER_3;0.000252576;0.000252565;0.000103702
3235.31;268.631;MID_LAYER_3;MID_LAYER_4;0.000252565;0.000252492;0.000153953
3235.31;268.631;MID_LAYER_4;BOTTOM_LAYER;0.000252492;0.00025248;0.000146704
3235.31;308.001;TOP_LAYER;MID_LAYER_1;0.000252902;0.000252892;0.000122379
3235.31;308.001;MID_LAYER_1;MID_LAYER_2;0.000252892;0.000252846;9.82603e-05
3235.31;308.001;MID_LAYER_2;MID_LAYER_3;0.000252846;0.000252835;0.000107854
3235.31;308.001;MID_LAYER_3;MID_LAYER_4;0.000252835;0.000252754;0.000170582
3235.31;308.001;MID_LAYER_4;BOTTOM_LAYER;0.000252754;0.000252741;0.000162919
