refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,4.99955,0.223612,0
VCOMP0,VCOMP0-1,4.99955,0.223612,0
VCOMP0,VCOMP0-2,0,-0.111806,0
VCOMP0,VCOMP0-3,0,-0.111806,0
VCOMP0,VCOMP0-4,0,-0.111806,0
VCOMP0,VCOMP0-5,0,-0.111806,0
VCOMP1,VCOMP1-0,5.00024,0.00597292,0
VCOMP1,VCOMP1-1,5.00024,0.00597292,0
VCOMP1,VCOMP1-2,0.000247092,-0.00298646,0
VCOMP1,VCOMP1-3,0.000247092,-0.00298646,0
VCOMP1,VCOMP1-4,0.000247092,-0.00298646,0
VCOMP1,VCOMP1-5,0.000247092,-0.00298646,0
VCOMP54,VCOMP54-0,3.29955,0.570289,0
VCOMP54,VCOMP54-1,0.000117524,-0.570289,0
VCOMP56,VCOMP56-0,3.7997,0.835247,0
VCOMP56,VCOMP56-1,-0.00037459,-0.417624,0
VCOMP56,VCOMP56-2,-0.00037459,-0.417624,0
VCOMP59,VCOMP59-0,4.99899,0.00118523,0
VCOMP59,VCOMP59-1,0.000116946,-0.000592617,0
VCOMP59,VCOMP59-2,0.000116946,-0.000592617,0
VCOMP2,VCOMP2-0,3.67916,-0.0625225,3.04
VCOMP2,VCOMP2-1,3.67902,-0.0624775,3.04
VCOMP2,VCOMP2-2,0.00027662,0.00328658,3.04
VCOMP2,VCOMP2-3,0.000282598,0.00328461,3.04
VCOMP2,VCOMP2-4,0.000280508,0.0032853,3.04
VCOMP2,VCOMP2-5,0.000281841,0.00328486,3.04
VCOMP2,VCOMP2-6,0.000283437,0.00328433,3.04
VCOMP2,VCOMP2-7,0.000281119,0.0032851,3.04
VCOMP2,VCOMP2-8,0.000282114,0.00328477,3.04
VCOMP2,VCOMP2-9,0.000279664,0.00328558,3.04
VCOMP2,VCOMP2-10,0.000282727,0.00328457,3.04
VCOMP2,VCOMP2-11,0.000273213,0.0032877,3.04
VCOMP2,VCOMP2-12,0.000280673,0.00328524,3.04
VCOMP2,VCOMP2-13,0.000279564,0.00328561,3.04
VCOMP2,VCOMP2-14,0.000282045,0.00328479,3.04
VCOMP2,VCOMP2-15,0.000277044,0.00328644,3.04
VCOMP2,VCOMP2-16,0.000268479,0.00328925,3.04
VCOMP2,VCOMP2-17,0.000271918,0.00328812,3.04
VCOMP2,VCOMP2-18,0.000261218,0.00329164,3.04
VCOMP2,VCOMP2-19,0.000269914,0.00328878,3.04
VCOMP2,VCOMP2-20,0.000258178,0.00329264,3.04
VCOMP2,VCOMP2-21,0.000265742,0.00329015,3.04
VCOMP2,VCOMP2-22,0.000258049,0.00329269,3.04
VCOMP2,VCOMP2-23,0.000277755,0.0032862,3.04
VCOMP2,VCOMP2-24,0.000278586,0.00328593,3.04
VCOMP2,VCOMP2-25,0.000260786,0.00329178,3.04
VCOMP2,VCOMP2-26,0.000271514,0.00328826,3.04
VCOMP2,VCOMP2-27,0.000271239,0.00328835,3.04
VCOMP2,VCOMP2-28,0.000270802,0.00328849,3.04
VCOMP2,VCOMP2-29,0.000272965,0.00328778,3.04
VCOMP2,VCOMP2-30,0.00026378,0.0032908,3.04
VCOMP2,VCOMP2-31,0.00026142,0.00329158,3.04
VCOMP2,VCOMP2-32,0.000258099,0.00329267,3.04
VCOMP2,VCOMP2-33,0.000248441,0.00329585,3.04
VCOMP2,VCOMP2-34,0.000254365,0.0032939,3.04
VCOMP2,VCOMP2-35,0.000250994,0.00329501,3.04
VCOMP2,VCOMP2-36,0.000231115,0.00330155,3.04
VCOMP2,VCOMP2-37,0.000233954,0.00330061,3.04
VCOMP2,VCOMP2-38,0.000241324,0.00329819,3.04
VCOMP2,VCOMP2-39,0.000253061,0.00329433,3.04
VCOMP3,VCOMP3-0,3.68066,-0.0312855,5.79048
VCOMP3,VCOMP3-1,3.68031,-0.0312236,5.79048
VCOMP3,VCOMP3-2,3.68037,-0.0312353,5.79048
VCOMP3,VCOMP3-3,3.68049,-0.0312555,5.79048
VCOMP3,VCOMP3-4,0.00027662,0.00328795,5.79048
VCOMP3,VCOMP3-5,0.000282598,0.00328692,5.79048
VCOMP3,VCOMP3-6,0.000280508,0.00328728,5.79048
VCOMP3,VCOMP3-7,0.000281841,0.00328705,5.79048
VCOMP3,VCOMP3-8,0.000283437,0.00328677,5.79048
VCOMP3,VCOMP3-9,0.000281119,0.00328717,5.79048
VCOMP3,VCOMP3-10,0.000282114,0.003287,5.79048
VCOMP3,VCOMP3-11,0.000279664,0.00328742,5.79048
