Description,Designator,Quantity,Case,Mouser_Part_Number,Tolerance,Value,Manufacturer Part Number,Manufacturer_Part_Number
"Standard LEDs - SMD PICOLED series Red LED","D1","1","0606 (1616 metric)","","","","150066M153000",""
"Capacitor - 33pF [0402] (Ceramic)","C161","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C160","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C159","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C158","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C157","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C156","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C155","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 33pF [0402] (Ceramic)","C154","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C153","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C152","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C151","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C150","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 33pF [0402] (Ceramic)","C149","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C148","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C147","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C146","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C145","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C144","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C143","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C142","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C141","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C140","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C139","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C138","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C137","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C136","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C135","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C134","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C133","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C132","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
