Description,Designator,Quantity,Case,Mouser_Part_Number,Tolerance,Value,Manufacturer Part Number,Manufacturer_Part_Number
"Capacitor - 33pF [0402] (Ceramic)","C33","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C32","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C31","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C30","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C29","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C28","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 10uF [0603] (Tantalium)","C27","1","0603","581-F380J106MMAAH3","20%","10uF","","F380J106MMAAH3"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C26","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C25","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 33pF [0402] (Ceramic)","C24","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C23","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 33pF [0402] (Ceramic)","C22","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 1uF [0402] (Ceramic)","C21","1","0402","81-GRM153R60J105ME5D","20%","1uF","","GRM153R60J105ME95D"
"Capacitor - 47uF [0603] (Tantalium)","C20","1","0603","581-F380J476MMAAXEH3","20%","47uF","","F380J476MMAAXEH3"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C19","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C18","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 33pF [0402] (Ceramic)","C17","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C16","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 1uF [0402] (Ceramic)","C15","1","0402","81-GRM153R60J105ME5D","20%","1uF","","GRM153R60J105ME95D"
"Capacitor - 10uF [0603] (Tantalium)","C14","1","0603","581-F380J106MMAAH3","20%","10uF","","F380J106MMAAH3"
"Capacitor - 33pF [0402] (Ceramic)","C13","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C12","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 39uF 16V [Can] (Electrolytic)","C11","1","Can","667-16SVPC39MV","20%","39uF","","16SVPC39MV"
"Capacitor - 39uF 16V [Can] (Electrolytic)","C10","1","Can","667-16SVPC39MV","20%","39uF","","16SVPC39MV"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C9","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 33pF [0402] (Ceramic)","C8","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C7","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 33pF [0402] (Ceramic)","C6","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C5","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 39uF 16V [Can] (Electrolytic)","C4","1","Can","667-16SVPC39MV","20%","39uF","","16SVPC39MV"
"Capacitor - 39uF 16V [Can] (Electrolytic)","C3","1","Can","667-16SVPC39MV","20%","39uF","","16SVPC39MV"
"Capacitor - 100nF [0402-6V3] (Ceramic)","C2","1","0402","581-04026D104KAT4A","%10","100nF","","04026D104KAT4A"
"Capacitor - 33pF [0402] (Ceramic)","C1","1","0402","80-C0402C330J9RAUTO","10%","33pF","","C0402C330J9RACAUTO"
